Price,Square Feet,Lot Size,Bedrooms,Bathrooms,Garage,Year Built,Elementary School Score,Middle School Score,High School Score,Walk Score,Property Taxes,Highway,Restaurant,Park,Shopping Mall,Address,Zip Code
179900,1600,43560,3,2,Yes,1994,9,4,2,15,3182,No,22,18,1.3,504 Winkworth Pkwy,13219
128000,1992,6969,4,2.5,Yes,1950,2,4,2,43,1393,No,7,5,0.6,136 Austin Ave,13207
114900,1378,5227,4,1,Yes,1930,2,4,2,50,1331,No,6,7,0.5,701 Velasko Rd,13207
107500,1452,5227,3,1,Yes,1931,2,4,1,42,157,No,12,8,0.8,518 Wolcott Ave,13207
43000,850,6098,2,1,Yes,1955,2,9,1,57,1525,No,8,20,0.6,112 Wolcott Ave,13207
85000,1639,7840,4,1,No,1915,2,4,1,36,2184,No,32,11,2.5,212 Roberts Ave,13207
254900,3560,13503,5,3.5,Yes,1940,2,4,2,28,5202,No,27,13,2.6,168 Robineau Rd,13207
63000,1788,5227,3,1,No,1890,4,1,2,43,788,No,34,6,3.3,136 Parkside ave,13207
188000,2832,10454,4,2,Yes,1905,2,4,1,49,2500,No,12,11,1.9,121 Ruskin Ave,13207
169900,1864,6534,4,2,Yes,1926,2,4,2,52,2251,No,22,4,4.1,203 Wellesley Rd,13207
38000,1162,3049,3,1,Yes,1890,1,1,2,37,1141,No,26,21,3.2,"160 Berger Ave, Syracuse NY",13205
59900,1540,3920,4,1,No,1900,1,2,1,52,1343,No,40,4,2.3,106 Glahn Ave,13205
59900,1260,13503,4,2,No,1950,1,1,2,33,963,No,23,24,3.5,368 W Matson Ave,13205
212990,2800,16552,4,5,Yes,1930,9,2,3,25,3953,No,23,24,2.1,208 Standish Dr,13224
212990,2800,16552,4,5,Yes,1930,9,2,3,25,3953,No,23,24,2.1,208 Standish Dr,13224
212990,2800,16552,4,5,Yes,1930,9,2,3,25,3953,No,23,24,2.1,208 Standish Dr,13224
159000,2330,12196,4,2,Yes,1940,9,2,3,6,3320,No,22,34,1.5,203 Lockwood Rd,13214
119500,1008,7731,3,1,Yes,1952,9,2,3,17,1537,No,27,47,2.3,200 Locksley Rd,13224
185000,2136,28314,3,2,Yes,1964,9,2,3,35,4081,No,20,23,1.4,205 Bradford Pkwy,13224
34000,1194,4356,3,1,Yes,1915,1,1,2,35,1126,No,16,24,3,127 Winman Ave,13205
28000,720,5227,2,1,Yes,1925,1,1,2,42,1237,No,11,19,3.1,508 W. Newell St,13205
159900,1984,9147,5,2,Yes,1960,9,2,3,16,2177,No,40,15,1.5,406 Hillsboro Pkwy,13214
63000,1788,5227,3,1,No,1890,4,1,2,43,788,No,31,44,2.4,"163, Parkside Ave,",13207
132000,1786,4093,3,1.5,No,1910,1,2,1,56,1620,No,12,8,2.7,"301, South Avery Avenue",13204
180000,1204,3484,4,2,No,1900,1,1,2,74,609,No,7,14,1.7,"114, Nelson Street",13204
98999,1462,,4,2,No,1890,1,1,2,71,1651,No,9,8,1.8,567 S Wilbur Ave,13204
50310,1460,6534,3,2,No,1900,4,1,2,58,509,Yes,4,8,1.7,"217,Rockland Ave,",13207
40000,1248,8276,3,1,No,1920,4,2,2,43,506,No,7,0,4.2,421 Glenwood Ave,13207
18500,1976,2401,6,2,No,1910,2,1,1,68,1231,No,3,28,0.4,"209,Lemoyne Ave",13208
80105,1378,4070,3,1,No,1900,2,1,2,56,1603,No,7,13,2.6,236 Huntley street,13208
82828,2262,,6,2,Yes,1915,4,1,2,66,1240,No,1,1,0.7,137 E Bissel St.,13207
62957,1722,6239,6,2,Yes,1900,2,4,1,48,1723,No,0.9,15,0.9,"1508 S Geddes St, ",13207
49900,1194,9583,2,1,No,1860,1,9,1,49,1113,No,24,15,1.5,134 Hoefler St,13204
42000,1110,3484,3,2,Yes,1925,1,2,1,57,1088,No,23,15,1.6,205 Hartson St,13204
79900,1234,5662,2,1,Yes,1930,2,2,3,49,1140,No,21,10,2.8,302 Beattie St,13224
69998,1150,3435,3,1.5,Yes,1962,2,3,3,48,1201,No,20,1,2.1,306 Mountainview Ave,13224
74900,1198,4791,3,2,Yes,1923,2,2,3,59,1661,No,19,5,2.2,147 Fayette Blvd,13224
72000,1320,4356,3,2,Yes,1925,2,2,3,50,1595,No,17,15,1.7,273 Genessee Park Drive,13224
49900,2003,3920,6,2,No,1900,2,4,1,59,1950,No,26,26,1.8,310 Arthur Street,13204
79900,1548,6098,3,1,Yes,1973,2,2,3,63,794,No,12,5,2.9,484 Audubon Parkway,13224
84900,1250,6000,3,1.5,Yes,1952,2,2,5,48,875,Yes,21,7,2.1,638 Salisbury Park Drive,13224
56000,1664,1735,4,2,No,1910,1,3,2,65,871,No,11,17,3.2,461 Westmoreland Ave,13210
74900,944,10711,2,2,Yes,1984,1,3,2,65,2263,Yes,0.5,8,4.5,230 Delhi Street,13202
24900,1656,4356,2,2,No,1900,1,3,2,72,1086,Yes,6,10,1.6,813 Hawley Ave,13203
72500,3627,2613,7,5,No,1910,1,3,2,78,1860.04,No,3,16,2.7,705 Lodi St,13203
58900,2712,4356,6,3,No,1870,1,1,1,81,2302,No,2,16,1.2,1006 N Townsend St,13208
49900,2464,3484,6,3,No,1900,1,1,1,87,1890,No,2,17,5,412 E Division,13208
29900,1390,1742,3,1,No,1910,1,1,1,80,959,No,6,18,1.4,109 Lilac street,13208
45000,2624,4791,6,2,No,1900,1,1,1,83,1484,No,7,19,1.5,608 Ash Street,13208
59000,2208,4356,4,2,No,1910,1,1,1,71,1372,No,8,20,1.4,1113 Park Street,13208
79950,972,4791,2,1,Yes,1925,2,1,2,38,1031,No,25,26,0.2,110 Merril St,13208
69900,1160,6969,2,1,Yes,1950,2,1,2,48,1272,No,26,29,0.4,310 Martin St,13208
59900,1536,4791,3,1,Yes,1930,2,1,2,47,1461,No,25,24,0.2,308 Cadillac St,13208
