"","lat","lon","Complaint.Type","Identifier","Severity"
"86",43.0364273,-76.1792877,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","091.-04-25.0",18
"98",42.005578,-76.53903,"Building W/O Permit; Building W/O Permit; Building W/O Permit","112.-02-17.0",13
"121",43.036001,-76.17164,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext","092.-16-03.0",24
"227",43.064887,-76.143762,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-22-17.0",16
"238",43.05061,-76.091613,"Zoning Violations","034.-11-13.0",11
"239",43.013816,-76.145525,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","076.-14-14.0",20
"379",43.01494,-76.152389,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Trash/Debris-Private, Occ; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","075.-12-24.0",34
"403",43.0254199,-76.174458,"Complaint Reqst - General","082.-08-52.0",11
"475",43.054381,-76.129129,"Water Shop:All Complaints; Water Shop:All Complaints; Water Shop:All Complaints; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","029.-15-12.0",16
"632",43.059735,-76.1232409,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","019.-20-05.0",36
"806",43.02156,-76.156584,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","078.-03-31.0",31
